Su ?çeri?i (%),#10 Kalan (%),#200 Geçen (%),LL  (%),PL (%),CU
37.1,0,95.7,66,22,35.0692877
42.5,0,92.4,64.1,19.3,15.70379763
33.9,0,95.2,56.6,21.5,33.47824103
37.2,0,94.6,55.8,20.6,19.4278029
30.8,0,94,54.7,20,40.61943285
29.1,0,86.4,58.9,22.6,74.60386987
36.2,0,88.4,52.7,18.6,15.82911641
45.8,0,91.7,54.8,19.6,5.541636208
36.5,0,95.6,52.8,17.6,14.38474344
36.5,0,96.1,47.4,20.3,10.87284125
31.6,0,96.1,43.5,21.5,20.57752
36.1,0,91.9,46.6,20.5,10.87708434
36,0,96.3,58.6,21.4,27.95536922
39.9,0,96.5,56.6,20.8,14.61228998
27.3,0,95.9,52.5,18.6,52.21604724
48.7,3.8,89.1,57.6,21.6,5.330151676
40.7,15,79.6,48.6,20.3,6.173347181
30.2,2.9,66.2,54.5,18.6,38.45933977
20.9,0,56.4,64.6,21.6,183.2175773
20.5,0,75.4,52.5,19.6,149.9010812
22.9,3.9,77.6,54.7,21.6,141.9042475
38.3,0,92.5,52.8,19.9,12.98014397
17,0,62.1,54.7,17.6,183.1277972
31.5,6,68.5,54.7,18.3,32.06738686
30,0,94,51.5,18,32.72725084
31.5,0,96.7,46.6,21.4,26.90571724
40.1,3.1,70.8,47.6,21.2,6.315191437
39.6,5.3,62.7,51.5,19.3,9.356760418
33,0,97.5,46.3,20,17.50120844
32.3,0,94.9,57.4,20,37.45428301
29.8,0,94.4,59.6,21.8,64.22255062
19,7.8,51.4,54.7,19.6,183.9056331
47.4,0,86.1,52.1,20,3.352565255
38.9,0,95.1,57.6,21.5,18.52004776
32.4,1.6,89.7,53.5,20.6,32.6590329
45.8,7.5,67.3,58.8,21.3,8.421405257
27.1,0,85.7,52.1,19.6,58.81341884
35.6,4.4,80.7,55.7,18.6,20.66001672
49.3,0,90.1,64.5,19.3,8.028660083
34.7,0,95,64,20,36.56675883
41.5,4.6,86.9,66.6,18.3,18.66226779
18.1,0.8,57.2,46.6,20.3,249.7722281
26.9,0,91.6,42.8,18,32.62774983
21.6,0,91,47.5,21.6,170
34.3,0,81,42.8,19.6,9.220649396
34,0,91.3,40.3,18,6.269472442
31.7,0,93.1,58.9,20.8,45.60076022
27.2,0,95.6,57.4,20,70.12846389
26.1,0,93.3,58.6,21.6,97.16368055
35.2,0,96.3,55.8,20.3,24.66275955
8.2,4.1,45.9,40.6,19.3,1868.204308
7.1,2.4,45.2,37.5,20.6,6700.742743
6.3,2.1,30.2,35.2,20.3,12803.80856
11.6,10.3,40.4,39.6,21.5,2103.924448
28.4,6.7,59.8,54.7,19.6,53.65859495
28.7,7.9,53.7,57.4,20.3,60.00314582
36.2,0,82,45.5,19.6,8.915947946
28,0,94.1,58.8,21.4,75.49888579
24.6,0,96.3,59.6,21,110.7003914
27.6,0,95.3,58.5,20,68.569007
27.7,9.7,74.8,57.4,19.3,61.66585428
49.6,3.6,70.1,54.8,19.3,3.353512617
11.3,14.4,40.7,53.5,22.7,932.8265772
13.7,3.9,34.6,40.3,21.5,1146.08973
13.7,1.9,34.8,38.6,21.6,1441.189157
8.9,25.8,28.2,39.9,21.6,4137.376488
11.5,6.1,38.2,38.9,20.1,1393.86477
9.9,13.4,28.2,39.9,18,931.6823168
29.7,0,94.1,56.6,21.5,58.04775223
43.2,0,94.3,52.2,19.6,6.086555743
40.7,0,93.2,47.5,21.6,5.719447276
45.3,0,74.4,42,19.3,0.876010023
26.5,0,98,52.1,19.5,63.31807211
36.4,0,95.1,59.3,23.4,32.14423074
30.7,0,93.7,58.6,24.2,71.28618226
40.9,0,94.1,52.1,19.6,8.342323631
37.5,0,95.8,52.4,18.6,12.98605103
47.2,0,93.3,55.3,21.4,5.130876324
36.2,0,93.1,54.9,19.3,19.15027332
15.2,2.6,65.5,47.4,20.3,403.9904892
17.2,0,92.9,54.5,20,246.9270778
28.2,0,91.4,56.6,21.4,69.91318171
24.5,0,98.1,58.6,20.7,107.1931704
33.3,7.9,86.7,56.9,20,32.39408243
35.8,6.4,85,59.6,22.2,31.92037753
15.1,4.7,66.5,54.8,21.1,385.5630057
19.6,0,95.6,54.8,19.3,163.519006
12.9,12.4,81.9,46.5,21.6,847.9831017
15.9,2.3,72.2,45.5,18.3,255.0956841
20,3.6,75.6,42.5,18.6,129.8487496
17.2,6.6,61.5,48.9,21.34,339.2469277
30,0,96.6,56.8,21,53.48994857
25.2,0,95.6,54.7,18.8,74.87557633
15.5,8.1,87,48.6,20.5,385.3757795
24.7,0,87,54,20,90.01551237
34.8,0,94.3,56.9,22.2,31.99739905
36.4,0,94.9,57.5,21.3,24.95846029
31.3,0,96.7,58.5,22.6,55.76524296
33.7,3.6,69.9,64.6,22.3,49.21560087
29.3,2,72.1,67.6,22.1,82.10195447
32.7,0,95.4,68.9,21.6,57.76700489
36.7,0,96.4,66.6,20,32.70315336
35,17.5,58.3,67.4,19.6,38.62669933
17.6,24.4,43.5,38.6,20.4,344.9561709
30.4,0,92.4,57.4,19,43.39373305
29.9,0,91.7,52.5,18.2,35.40542007
33.6,0,95.2,54.6,21.6,31.92037753
32.1,0,93.9,54.7,19.3,32.22343737
12.7,14.6,53.8,45.5,20.3,680.5873552
45.5,0,87,45.3,20,1.64858199
38.5,0,95.5,48.9,21.3,9.673875441
37.2,0,89.1,52.5,19.6,14.51617157
37.8,0,93.3,54.7,18,14.21520101
43,0,93,56.6,23.5,11.31477767
16.9,17.3,49.8,43.5,21.5,444.7520311
37,0,75,42.5,20.3,5.343051126
38.5,0,85.9,48.6,20,8.676189865
44.3,0,91.5,51.5,19.6,4.82790318
41.2,0,91.6,52.5,18.6,7.920463568
36.9,0,91.7,54.7,19.3,17.27101933
41.4,0,87.9,57.4,21.6,13.35549814
23.5,0,97.3,47.4,18.3,74.73066657
24.5,0,98.1,46.6,21.2,93.52442269
16.3,0,95,51.4,18.3,224.4639775
8.3,0,97.7,53.5,20.5,930.971041
37,0,84.9,57.4,21.6,23.50545812
